functionname,protocol,device,subdevice,function
BRIGHT,NEC2,0,239,0
DARK,NEC2,0,239,1
OFF,NEC2,0,239,2
ON,NEC2,0,239,3
RED,NEC2,0,239,4
GREEN,NEC2,0,239,5
BLUE,NEC2,0,239,6
WHITE,NEC2,0,239,7
DARK_ORANGE,NEC2,0,239,8
DARK_GREEN,NEC2,0,239,9
DARK_BLUE,NEC2,0,239,10
FLASH,NEC2,0,239,11
BRIGHT_ORANGE,NEC2,0,239,12
SKY_BLUE,NEC2,0,239,13
DARK_PURPLE,NEC2,0,239,14
STROBE,NEC2,0,239,15
DARK_YELLOW,NEC2,0,239,16
GREEN_BLUE,NEC2,0,239,17
BRIGHT_PURPLE,NEC2,0,239,18
FADE,NEC2,0,239,19
YELLOW,NEC2,0,239,20
NAVY_BLUE,NEC2,0,239,21
PINK,NEC2,0,239,22
SMOOTH,NEC2,0,239,23
